threshold,tp,fp,tn,fn,wrong_class,precision,recall,fpr,tpr,f1,accuracy,risk_uniform,risk_per_class
0.62,9081,311,377,10043,92,0.9575073808519612,0.47257493755203994,0.5166666666666667,0.47257493755203994,0.632822299651568,0.47518086816720256,51078.0,57800
0.64,8588,259,377,10551,77,0.9623487225459435,0.44691923397169026,0.47124824684431976,0.44691923397169026,0.6103766879886282,0.4515917791658271,53476.0,60196
0.66,8094,210,378,11062,60,0.9677187948350072,0.4212114904246461,0.4166666666666667,0.4212114904246461,0.5869470630891951,0.42779236517875174,55880.0,62637
0.68,7533,166,380,11635,48,0.972376403769201,0.39201706910907574,0.3602693602693603,0.39201706910907574,0.5587657159811593,0.4004149377593361,58629.0,65329
0.7,6875,123,381,12301,40,0.9768400113668656,0.35777477102414657,0.29963235294117646,0.35777477102414657,0.5237297173763998,0.36795131845841783,61868.0,68376
0.72,6183,102,381,13008,25,0.9798732171156894,0.321763114071607,0.25,0.321763114071607,0.4844472302750137,0.3332148840042642,65292.0,71801
0.74,5490,74,381,13702,24,0.9824624194702934,0.285699417152373,0.2045929018789144,0.285699417152373,0.4426705370101596,0.29845966143053226,68728.0,75173
0.76,4752,52,381,14443,21,0.9848704663212435,0.2472939217318901,0.16079295154185022,0.2472939217318901,0.3953246537165675,0.26123466843096343,72393.0,78725
0.78,3975,42,381,15228,13,0.9863523573200993,0.20685886761032474,0.12614678899082568,0.20685886761032474,0.34199432160371673,0.22180355415245176,76260.0,82496
0.8,3262,31,381,15945,9,0.987886129618413,0.16975437135720234,0.09501187648456057,0.16975437135720234,0.2897237765343281,0.18560220093743632,79810.0,85973
0.82,2530,19,381,16684,2,0.9917679341434732,0.13166111573688594,0.05223880597014925,0.13166111573688594,0.2324619837368494,0.14839926590538335,83451.0,89545
0.84,1858,12,381,17356,2,0.9925213675213675,0.0966902581182348,0.035443037974683546,0.0966902581182348,0.17621396054628224,0.11418226324646846,86804.0,92873
0.86,1256,12,381,17959,1,0.9897557131599685,0.06536219816819318,0.03299492385786802,0.06536219816819318,0.12262631193556262,0.08348207455760111,89813.0,95890
0.88,800,4,381,18416,0,0.9950248756218906,0.041631973355537054,0.01038961038961039,0.041631973355537054,0.0799200799200799,0.060252027957757255,92084.0,98161
0.9,378,2,381,18838,0,0.9947368421052631,0.019671107410491256,0.005221932114882507,0.019671107410491256,0.0385793018983466,0.038726465636001836,94192.0,100269
0.92,95,0,381,19121,0,1.0,0.004943796835970025,0.0,0.004943796835970025,0.00983895189270364,0.024289432055926926,95605.0,101682
0.94,8,0,381,19208,0,1.0,0.00041631973355537054,0.0,0.00041631973355537054,0.0008322929671244278,0.01984997703730163,96040.0,102117
0.96,0,0,381,19216,0,0.0,0.0,0.0,0.0,0.0,0.01944175128846252,96080.0,102157
0.98,0,0,381,19216,0,0.0,0.0,0.0,0.0,0.0,0.01944175128846252,96080.0,102157
1.0,0,0,381,19216,0,0.0,0.0,0.0,0.0,0.0,0.01944175128846252,96080.0,102157
